Temp,AirHumidity,Flag
15.18582972,0.512566206,three-yellow chicken
15.18582972,0.620554594,three-yellow chicken
15.18582972,0.636995764,three-yellow chicken
15.18582972,0.541408204,three-yellow chicken
15.18582972,0.544500404,three-yellow chicken
15.18582972,0.668498064,three-yellow chicken
15.18582972,0.550699203,three-yellow chicken
15.18582972,0.633592814,three-yellow chicken
15.18582972,0.507470656,three-yellow chicken
15.18582972,0.521052039,three-yellow chicken
15.18582972,0.547636675,three-yellow chicken
15.18582972,0.686870026,three-yellow chicken
15.18582972,0.60141886,three-yellow chicken
15.18582972,0.511622428,three-yellow chicken
15.18582972,0.673728435,three-yellow chicken
15.18582972,0.645325976,three-yellow chicken
15.18582972,0.634141079,three-yellow chicken
15.18582972,0.525007754,three-yellow chicken
15.18582972,0.633280561,three-yellow chicken
15.18582972,0.689042048,three-yellow chicken
15.18582972,0.502663399,three-yellow chicken
15.18582972,0.638193845,three-yellow chicken
15.18582972,0.507573898,three-yellow chicken
15.18582972,0.660563021,three-yellow chicken
15.18582972,0.660173328,three-yellow chicken
15.18582972,0.549225535,three-yellow chicken
15.18582972,0.599534658,three-yellow chicken
15.18582972,0.62970436,three-yellow chicken
15.18582972,0.625521806,three-yellow chicken
15.18582972,0.520251762,three-yellow chicken
15.18582972,0.642345253,three-yellow chicken
15.18582972,0.506531793,three-yellow chicken
15.18582972,0.611521366,three-yellow chicken
15.18582972,0.626702193,three-yellow chicken
15.18582972,0.600643327,three-yellow chicken
15.18582972,0.581055525,three-yellow chicken
15.18582972,0.651466901,three-yellow chicken
15.18582972,0.588146496,three-yellow chicken
15.18582972,0.682254692,three-yellow chicken
15.18582972,0.522892499,three-yellow chicken
15.18582972,0.650920296,three-yellow chicken
15.18582972,0.589081411,three-yellow chicken
15.18582972,0.665226925,three-yellow chicken
15.18582972,0.618058551,three-yellow chicken
15.18582972,0.503047326,three-yellow chicken
15.18582972,0.526304844,three-yellow chicken
15.18582972,0.560380634,three-yellow chicken
15.18582972,0.523229161,three-yellow chicken
15.18582972,0.607661231,three-yellow chicken
15.18582972,0.645062171,three-yellow chicken
15.18582972,0.554449347,three-yellow chicken
15.18582972,0.623288599,three-yellow chicken
15.18582972,0.628212439,three-yellow chicken
15.18582972,0.61187969,three-yellow chicken
15.18582972,0.660647959,three-yellow chicken
15.18582972,0.581954096,three-yellow chicken
15.18582972,0.599684655,three-yellow chicken
15.18582972,0.695760697,three-yellow chicken
15.18582972,0.59214345,three-yellow chicken
15.18582972,0.618699597,three-yellow chicken
15.18582972,0.552175103,three-yellow chicken
15.18582972,0.538259662,three-yellow chicken
15.18582972,0.54481081,three-yellow chicken
15.18582972,0.521347983,three-yellow chicken
15.18582972,0.665572949,three-yellow chicken
15.18582972,0.53897075,three-yellow chicken
15.18582972,0.63196855,three-yellow chicken
15.18582972,0.51554598,three-yellow chicken
15.18582972,0.500220031,three-yellow chicken
15.18582972,0.518505588,three-yellow chicken
15.18582972,0.664111122,three-yellow chicken
15.18582972,0.552390072,three-yellow chicken
15.18582972,0.625492447,three-yellow chicken
15.18582972,0.528362387,three-yellow chicken
15.18582972,0.510619551,three-yellow chicken
15.18582972,0.587143534,three-yellow chicken
15.18582972,0.551894693,three-yellow chicken
15.18582972,0.618750089,three-yellow chicken
15.18582972,0.678916309,three-yellow chicken
15.18582972,0.617984065,three-yellow chicken
15.18582972,0.537460092,three-yellow chicken
15.18582972,0.553922532,three-yellow chicken
15.18582972,0.657899663,three-yellow chicken
15.18582972,0.529662968,three-yellow chicken
15.18582972,0.678262434,three-yellow chicken
15.18582972,0.572818925,three-yellow chicken
15.18582972,0.68163107,three-yellow chicken
15.18582972,0.683072857,three-yellow chicken
15.18582972,0.697419062,three-yellow chicken
15.18582972,0.507111113,three-yellow chicken
15.18582972,0.505870938,three-yellow chicken
15.18582972,0.694902849,three-yellow chicken
15.18582972,0.642896102,three-yellow chicken
15.18582972,0.665535029,three-yellow chicken
15.18582972,0.684794316,three-yellow chicken
15.18582972,0.579570719,three-yellow chicken
15.18582972,0.681184619,three-yellow chicken
15.18582972,0.56127126,three-yellow chicken
15.18582972,0.543401806,three-yellow chicken
15.18582972,0.681885576,three-yellow chicken
18.92671911,0.512566206,three-yellow chicken
18.92671911,0.620554594,three-yellow chicken
18.92671911,0.636995764,three-yellow chicken
18.92671911,0.541408204,three-yellow chicken
18.92671911,0.544500404,three-yellow chicken
18.92671911,0.668498064,three-yellow chicken
18.92671911,0.550699203,three-yellow chicken
18.92671911,0.633592814,three-yellow chicken
18.92671911,0.507470656,three-yellow chicken
18.92671911,0.521052039,three-yellow chicken
18.92671911,0.547636675,three-yellow chicken
18.92671911,0.686870026,three-yellow chicken
18.92671911,0.60141886,three-yellow chicken
18.92671911,0.511622428,three-yellow chicken
18.92671911,0.673728435,three-yellow chicken
18.92671911,0.645325976,three-yellow chicken
18.92671911,0.634141079,three-yellow chicken
18.92671911,0.525007754,three-yellow chicken
18.92671911,0.633280561,three-yellow chicken
18.92671911,0.689042048,three-yellow chicken
18.92671911,0.502663399,three-yellow chicken
18.92671911,0.638193845,three-yellow chicken
18.92671911,0.507573898,three-yellow chicken
18.92671911,0.660563021,three-yellow chicken
18.92671911,0.660173328,three-yellow chicken
18.92671911,0.549225535,three-yellow chicken
18.92671911,0.599534658,three-yellow chicken
18.92671911,0.62970436,three-yellow chicken
18.92671911,0.625521806,three-yellow chicken
18.92671911,0.520251762,three-yellow chicken
18.92671911,0.642345253,three-yellow chicken
